iter	Logloss
0	0.5753644142
1	0.4873110599
2	0.4246347577
3	0.3811594055
4	0.3467215841
5	0.3222692102
6	0.3046136837
7	0.2907656666
8	0.2798073244
9	0.2701319255
10	0.2640787333
11	0.2575391984
12	0.2524919457
13	0.2485522869
14	0.2457226491
15	0.2434623908
16	0.2407335311
17	0.239457648
18	0.2377121297
19	0.2361146219
20	0.2347720719
21	0.2337452826
22	0.2326916162
23	0.231642018
24	0.2307963406
25	0.2299370213
26	0.2291079865
27	0.2285538646
28	0.2280744906
29	0.2274614675
30	0.2269906628
31	0.2266105377
32	0.2260026763
33	0.2254409202
34	0.2249626443
35	0.2244776324
36	0.22402594
37	0.2236523432
38	0.2232012206
39	0.2229027451
40	0.2226338408
41	0.2223402117
42	0.221979794
43	0.2215213278
44	0.221175698
45	0.2210278173
46	0.2207609804
47	0.2204863204
48	0.2203480739
49	0.2201110373
50	0.2198725054
51	0.2196521131
52	0.2194052415
53	0.2191428555
54	0.218947411
55	0.2187914417
56	0.2185266625
57	0.2183511143
58	0.2181899061
59	0.2180324604
60	0.2178928811
61	0.2177851044
62	0.2176478466
63	0.2174560174
64	0.2173382435
65	0.2172018939
66	0.2170913972
67	0.2168548991
68	0.2167554745
69	0.216608432
70	0.2164788728
71	0.2163656608
72	0.2161842465
73	0.2160838979
74	0.2159354382
75	0.2158212962
76	0.2156711691
77	0.2155432932
78	0.2154359785
79	0.2153225033
80	0.2152026717
81	0.2150885419
82	0.2149961065
83	0.214872133
84	0.2147329326
85	0.2146271019
86	0.214502769
87	0.2144085292
88	0.214330206
89	0.2142246887
90	0.2141504991
91	0.214059873
92	0.2139852372
93	0.2138980934
94	0.2138136703
95	0.213753779
96	0.2136685811
97	0.2135663305
98	0.213509423
99	0.2134226504
100	0.2133176879
101	0.213234842
102	0.2131472295
103	0.2130659801
104	0.2129929214
105	0.212868467
106	0.2127911182
107	0.2127280439
108	0.2126496005
109	0.2125889306
110	0.212489987
111	0.2123827979
112	0.2122923484
113	0.2122487632
114	0.2121965554
115	0.2121262905
116	0.2120605033
117	0.2120001469
118	0.2119437399
119	0.2118848895
120	0.2117886736
121	0.2117262753
122	0.2116668458
123	0.2116045915
124	0.2115160427
125	0.2114291501
126	0.2113598905
127	0.2113211512
128	0.2112372744
129	0.211172
130	0.2111276178
131	0.2110876465
132	0.2110123734
133	0.2109573512
134	0.2109020661
135	0.2108241271
136	0.2107543792
137	0.2107185258
138	0.2106582703
139	0.2105942647
140	0.2105433521
141	0.2105069315
142	0.2104666529
143	0.210412514
144	0.2103600914
145	0.2102593387
146	0.2101871562
147	0.2101159956
148	0.2100610175
149	0.2099983096
150	0.2099552271
151	0.2099107121
152	0.2098448472
153	0.2097783071
154	0.2096672604
155	0.2096075801
156	0.2095559879
157	0.2094987715
158	0.2094373604
159	0.2093627663
160	0.20931239
161	0.2092547766
162	0.2092042763
163	0.2091405927
164	0.2090996128
165	0.2090417676
166	0.2089969332
167	0.2089288116
168	0.2088758729
169	0.2088154496
170	0.2087459876
171	0.2087063098
172	0.2086505537
173	0.2086062272
174	0.2085580509
175	0.208517263
176	0.208463963
177	0.2084229705
178	0.2083859675
179	0.2083226726
180	0.208253904
181	0.2081954313
182	0.2081212753
183	0.2080653234
184	0.2080243274
185	0.2079815228
186	0.2079415204
187	0.2079037798
188	0.2078561385
189	0.2078050033
190	0.2077637619
191	0.2077066269
192	0.2076635801
193	0.2076128411
194	0.2075865541
195	0.2075524076
196	0.2075207551
197	0.2074769804
198	0.2074356368
199	0.2073816046
200	0.2073390274
201	0.2072846134
202	0.2072601709
203	0.2072345437
204	0.2071774866
205	0.2071301038
206	0.2070882628
207	0.2070381565
208	0.2069996201
209	0.2069484495
210	0.2069152496
211	0.2068675312
212	0.2068205721
213	0.2067596009
214	0.2067123791
215	0.2066709279
216	0.2066452572
217	0.20660824
218	0.2065571255
219	0.2065208399
220	0.2064960412
221	0.2064599247
222	0.2064130045
223	0.2063763484
224	0.2063203317
225	0.2062991389
226	0.2062671334
227	0.2062195934
228	0.2061817907
229	0.2061387411
230	0.2061025017
231	0.2060721875
232	0.2060252844
233	0.2059772916
234	0.2059442222
235	0.2059173217
236	0.2058797726
237	0.2058552489
238	0.2058142322
239	0.2057619095
240	0.2057241394
241	0.2056871749
242	0.2056490656
243	0.2056279392
244	0.2055799692
245	0.2055357169
246	0.2054937109
247	0.2054473637
248	0.2054216143
249	0.205363295
250	0.2053207145
251	0.2052719548
252	0.2052345907
253	0.2051878569
254	0.2051468415
255	0.2051117136
256	0.205089207
257	0.2050572381
258	0.2050320377
259	0.2049832333
260	0.2049484981
261	0.2049149095
262	0.2048779347
263	0.2048612598
264	0.2048129509
265	0.2047715452
266	0.204729466
267	0.204706337
268	0.2046759519
269	0.2046416726
270	0.2045991999
271	0.204558484
272	0.204506094
273	0.2044590535
274	0.2044211708
275	0.2043676173
276	0.2043184223
277	0.2042807517
278	0.2042476741
279	0.2042128219
280	0.2041627516
281	0.20412945
282	0.2041045511
283	0.2040748325
284	0.2040392701
285	0.2040201361
286	0.2039830682
287	0.2039663267
288	0.2039251088
289	0.2038996822
290	0.2038792576
291	0.2038419914
292	0.2038072775
293	0.2037659954
294	0.2037322107
295	0.2036806172
296	0.2036315436
297	0.2036150853
298	0.2035852087
299	0.2035600259
300	0.2035316905
301	0.203487055
302	0.2034204124
303	0.2033846125
304	0.203353162
305	0.203323644
306	0.2032871646
307	0.203261777
308	0.2032198814
309	0.2031819575
310	0.2031612417
311	0.2031228833
312	0.2030695649
313	0.203034396
314	0.2029904218
315	0.202957135
316	0.2029130066
317	0.2028897215
318	0.2028617523
319	0.2028248297
320	0.2027826313
321	0.2027267208
322	0.2026946569
323	0.2026605628
324	0.2026292842
325	0.2025928956
326	0.2025721888
327	0.2025505344
328	0.2025232185
329	0.2024956663
330	0.2024550415
331	0.2024254658
332	0.202396096
333	0.202362453
334	0.202316905
335	0.2022905883
336	0.2022494932
337	0.2022142422
338	0.2021631509
339	0.2021234134
340	0.2021050808
341	0.2020879824
342	0.2020607436
343	0.2020260584
344	0.2019856134
345	0.2019613988
346	0.2019469811
347	0.2019046689
348	0.2018716021
349	0.2018436086
350	0.2018138877
351	0.2017731255
352	0.2017382492
353	0.2017046296
354	0.201650556
355	0.2016165108
356	0.2015788322
357	0.2015633138
358	0.2015389699
359	0.20150996
360	0.2014760816
361	0.2014371322
362	0.2013942169
363	0.2013654808
364	0.2013406505
365	0.2013201657
366	0.2012871233
367	0.2012544205
368	0.2012235986
369	0.2011991187
370	0.2011738669
371	0.2011303244
372	0.2011035013
373	0.2010775324
374	0.2010501264
375	0.2010100797
376	0.2009729065
377	0.2009419478
378	0.2009114385
379	0.2008857014
380	0.2008689338
381	0.2008399102
382	0.2008124516
383	0.2007787193
384	0.2007592804
385	0.2007252677
386	0.200705466
387	0.2006646481
388	0.2006181217
389	0.2005853069
390	0.200563557
391	0.2005311317
392	0.2004804612
393	0.2004203678
394	0.2003847278
395	0.2003516081
396	0.2003137231
397	0.200278585
398	0.2002484145
399	0.2002060113
400	0.2001794967
401	0.2001362235
402	0.2000951419
403	0.2000603488
404	0.2000382276
405	0.2000031489
406	0.1999747078
407	0.1999451735
408	0.199926328
409	0.199894322
410	0.199858776
411	0.199823709
412	0.1998062334
413	0.1997820136
414	0.1997415967
415	0.1997177792
416	0.1996925925
417	0.1996701639
418	0.1996429985
419	0.1996079265
420	0.1995752147
421	0.1995493825
422	0.1995149037
423	0.1994966474
424	0.1994750102
425	0.1994400765
426	0.1994064091
427	0.1993590234
428	0.1993368646
