iter	Passed	Remaining
400	29585	7304
401	29662	7231
402	29745	7159
403	29825	7087
404	29899	7013
405	29973	6939
406	30048	6866
407	30120	6791
408	30192	6717
409	30265	6643
410	30336	6569
411	30408	6495
412	30490	6422
413	30567	6349
414	30646	6276
415	30717	6202
416	30787	6128
417	30864	6054
418	30938	5980
419	31010	5906
420	31082	5832
421	31157	5758
422	31231	5685
423	31302	5610
424	31378	5537
425	31455	5464
426	31528	5390
427	31600	5315
428	31671	5241
429	31746	5168
430	31824	5094
431	31901	5021
432	31989	4949
433	32061	4875
434	32133	4801
435	32208	4727
436	32282	4653
437	32352	4579
438	32429	4506
439	32504	4432
440	32575	4358
441	32645	4283
442	32719	4209
443	32791	4135
444	32867	4062
445	32945	3988
446	33016	3914
447	33090	3840
448	33160	3766
449	33238	3693
450	33311	3619
451	33383	3545
452	33459	3471
453	33536	3398
454	33608	3323
455	33684	3250
456	33757	3176
457	33832	3102
458	33907	3028
459	33983	2955
460	34060	2881
461	34142	2808
462	34222	2734
463	34301	2661
464	34375	2587
465	34454	2513
466	34527	2439
467	34601	2365
468	34671	2291
469	34748	2217
470	34824	2144
471	34901	2070
472	34977	1996
473	35053	1922
474	35125	1848
475	35198	1774
476	35270	1700
477	35342	1626
478	35420	1552
479	35490	1478
480	35564	1404
481	35638	1330
482	35711	1256
483	35789	1183
484	35865	1109
485	35938	1035
486	36015	961
487	36089	887
488	36164	813
489	36238	739
490	36313	665
491	36397	591
492	36472	517
493	36548	443
494	36624	369
495	36700	295
496	36774	221
497	36850	147
498	36925	73
499	36997	0
