iter	Logloss
0	0.5717251131
1	0.4872963572
2	0.4267028364
3	0.3794405257
4	0.348312336
5	0.3234963082
6	0.3040893354
7	0.290269654
8	0.2775826236
9	0.2691729058
10	0.2633513622
11	0.257051245
12	0.2526017693
13	0.2486605358
14	0.2452599905
15	0.2430219812
16	0.2407340676
17	0.2385351284
18	0.2367700564
19	0.2352280464
20	0.2338358524
21	0.2326101662
22	0.2315586385
23	0.2307511433
24	0.2299009811
25	0.2292982217
26	0.2286804663
27	0.2280125281
28	0.2275171168
29	0.2269415469
30	0.2264831717
31	0.2258173685
32	0.2252318588
33	0.2247145627
34	0.2242441177
35	0.2238728664
36	0.2233128292
37	0.2229496236
38	0.2225105339
39	0.2220230121
40	0.2216105251
41	0.2213039315
42	0.2210245811
43	0.2206898152
44	0.2202121344
45	0.2198661698
46	0.219543158
47	0.2192839032
48	0.219072214
49	0.2188827846
50	0.2187001627
51	0.2184773121
52	0.2182667444
53	0.2180349374
54	0.2177982931
55	0.2176221759
56	0.2174459741
57	0.2172168236
58	0.2170226352
59	0.2168940365
60	0.2167574489
61	0.216558537
62	0.2164180166
63	0.2162665596
64	0.2161194954
65	0.2159723286
66	0.2158206632
67	0.2156000817
68	0.2155073993
69	0.2153624623
70	0.2152268849
71	0.2150751429
72	0.214921103
73	0.2147833712
74	0.2146689973
75	0.2145904191
76	0.2144770894
77	0.2141881967
78	0.2139916509
79	0.2138529084
80	0.2137760316
81	0.2136425662
82	0.2135587536
83	0.2134646256
84	0.2133638998
85	0.2131871278
86	0.2130089915
87	0.2129084042
88	0.2128364706
89	0.2127388689
90	0.2126322723
91	0.2125607853
92	0.2124464212
93	0.2123724439
94	0.2122689725
95	0.2121481946
96	0.2120128772
97	0.2119233762
98	0.211806095
99	0.2116404048
100	0.211541247
101	0.2114385543
102	0.2113497071
103	0.2112796018
104	0.2111678133
105	0.2111096626
106	0.2110205721
107	0.2109469649
108	0.210802201
109	0.2107135848
110	0.2105844668
111	0.210518118
112	0.2104320826
113	0.2103304166
114	0.2102565074
115	0.210146954
116	0.2100767429
117	0.2099969952
118	0.2099273114
119	0.209833122
120	0.2097557833
121	0.2096378738
122	0.2095416165
123	0.2094422796
124	0.209370958
125	0.2092918634
126	0.2092003147
127	0.2091425265
128	0.2090457055
129	0.2089927053
130	0.2089026073
131	0.208833072
132	0.2087250718
133	0.2086316101
134	0.2085425193
135	0.2084633178
136	0.2083961231
137	0.2083297218
138	0.2082476854
139	0.2081763286
140	0.2080992674
141	0.2080098147
142	0.2079283655
143	0.2078693821
144	0.2078164842
145	0.2077447102
146	0.2076563491
147	0.2076029617
148	0.2075371369
149	0.2074614837
150	0.2073942264
151	0.2073320576
152	0.2072875634
153	0.2072370619
154	0.207154737
155	0.2070450317
156	0.2069754429
157	0.2068973072
158	0.2068254267
159	0.2067783115
160	0.2066988818
161	0.2066152418
162	0.2065774855
163	0.2065153165
164	0.2064560086
165	0.2063653673
166	0.2063136402
167	0.2062487775
168	0.2061955983
169	0.2061131149
170	0.2060425643
171	0.2059549246
172	0.2058957858
173	0.205850831
174	0.2057730262
175	0.205701888
176	0.2056411877
177	0.2055923337
178	0.205540168
179	0.2054824009
180	0.2053939457
181	0.2053165673
182	0.2052582361
183	0.2051723073
184	0.2050830215
185	0.2050385035
186	0.2049661537
187	0.2049190318
188	0.2048831267
189	0.2047881418
190	0.2047104342
191	0.2046623769
192	0.2046165352
193	0.2045703387
194	0.2045233251
195	0.2044862484
196	0.2044028267
197	0.204378684
198	0.204312223
199	0.2042676093
200	0.2042242913
201	0.2041691445
202	0.2041027023
203	0.2040486529
204	0.2039869231
205	0.2039209465
206	0.2038519068
207	0.2038102439
208	0.2037519026
209	0.2036929655
210	0.2036311313
211	0.2035776767
212	0.2035335854
213	0.2034820592
214	0.2034044976
215	0.2033450948
216	0.2032900964
217	0.2032352978
218	0.203187103
219	0.2031219182
220	0.2030820452
221	0.2030394089
222	0.202997767
223	0.2029314389
224	0.2028848973
225	0.2028248202
226	0.202781335
227	0.2027416153
228	0.2026933802
229	0.202641158
230	0.2025757172
231	0.2025295461
232	0.2024911137
233	0.2024294619
234	0.2023814739
235	0.2023329537
236	0.2023010167
237	0.2022407812
238	0.2021740861
239	0.202119627
240	0.202083871
241	0.2020294183
242	0.2019769166
243	0.2019262845
244	0.2018803683
245	0.2018293215
246	0.2017762273
247	0.201731124
248	0.2016684869
249	0.2016106834
250	0.2015589781
251	0.2014841694
252	0.2014239479
253	0.2013843718
254	0.2013481174
255	0.2012921908
256	0.20121842
257	0.2011690698
258	0.2011138314
259	0.201077736
260	0.2010493293
261	0.2009590047
262	0.2009134901
263	0.2008497335
264	0.2008218723
265	0.2007636758
266	0.2006996564
267	0.2006692545
268	0.2005851129
269	0.2005347465
270	0.2004537899
271	0.2004081943
272	0.2003673828
273	0.2003158294
274	0.2002669567
275	0.2002017174
276	0.2001475787
277	0.2001120509
278	0.2000538025
279	0.200009445
280	0.1999759749
281	0.1998931716
282	0.1998505219
283	0.1998022717
284	0.1997432201
285	0.1997052472
286	0.1996535857
287	0.1996245924
288	0.1995525362
289	0.1995094724
290	0.1994617668
291	0.1994295679
292	0.1993907062
293	0.1993573931
294	0.1993020255
295	0.1992556494
296	0.1992162891
297	0.1991822214
298	0.1991305165
299	0.1990723179
300	0.1990092948
301	0.1989642608
302	0.1989144731
303	0.1988653505
304	0.1988299177
305	0.1988001192
306	0.1987557913
307	0.1987037817
308	0.1986533268
309	0.1986082272
310	0.1985554869
311	0.1985183828
312	0.1984774217
313	0.1984418402
314	0.1984080715
315	0.1983678729
316	0.1983259885
317	0.1982720854
318	0.1982304049
319	0.198185779
320	0.1981397041
321	0.1981023917
322	0.1980635622
323	0.1980047269
324	0.1979684967
325	0.1979314837
326	0.1978828236
327	0.1978555333
328	0.1978191695
329	0.1977806803
330	0.197707225
331	0.1976666376
332	0.1976402974
333	0.1975987644
334	0.1975460944
335	0.19750717
336	0.1974720452
337	0.19741924
338	0.1973639681
339	0.1973164633
340	0.1972916285
341	0.1972360164
342	0.1971973672
343	0.1971518625
344	0.1971086035
345	0.1970727292
346	0.1970351093
347	0.1969943252
348	0.1969188937
349	0.1968703419
350	0.196830208
351	0.1967977899
352	0.1967506092
